credit_card_number,credit_card_provider,transaction_type,event_ts,transaction_currency,transaction_amount
5120112793941193,JCB 16 digit,purchase,2024-03-19T08:16:00.000Z,COP,155321
30520877363342,JCB 16 digit,purchase,2024-03-26T08:45:00.000Z,BRL,125356
4459202503345649787,Maestro,purchase,2024-02-15T01:22:00.000Z,USD,166250
375342482429191,Discover,purchase,2024-01-12T12:12:00.000Z,COP,187584
370490729942859,VISA 19 digit,purchase,2024-02-10T04:24:00.000Z,MEX,165699
4325375652448297,VISA 13 digit,purchase,2024-03-15T21:07:00.000Z,COP,142981
3508103235406017,VISA 16 digit,purchase,2024-02-23T01:44:00.000Z,USD,190915
3549068196057821,JCB 15 digit,purchase,2024-01-12T16:17:00.000Z,COP,174263
4571920288387764,Discover,purchase,2024-03-03T00:19:00.000Z,ARS,150072
376146648595863,American Express,purchase,2024-03-26T06:19:00.000Z,USD,149380
375116142909390,Discover,purchase,2024-02-15T20:08:00.000Z,USD,156222
213199698402560,Mastercard,purchase,2024-01-26T00:08:00.000Z,COP,136664
4636391750905,VISA 19 digit,purchase,2024-02-14T17:59:00.000Z,ARS,149900
4071950686688882946,JCB 16 digit,purchase,2024-03-04T05:04:00.000Z,BRL,77617
377485054308612,VISA 19 digit,purchase,2024-03-08T13:48:00.000Z,USD,212844
4888490446186217,VISA 16 digit,purchase,2024-01-09T12:21:00.000Z,COP,169598
4239710829775955,VISA 19 digit,purchase,2024-03-30T12:28:00.000Z,USD,187660
582317223219,American Express,purchase,2024-02-18T14:12:00.000Z,MEX,136277
347073048207830,Maestro,purchase,2024-01-03T12:06:00.000Z,USD,150819
3585308033553516,JCB 16 digit,purchase,2024-01-26T21:40:00.000Z,COP,102797
2236302049503339,Mastercard,purchase,2024-01-14T09:44:00.000Z,USD,191879
180013483234725,VISA 13 digit,purchase,2024-02-12T10:11:00.000Z,USD,90952
2238528384071890,Diners Club / Carte Blanche,purchase,2024-03-26T01:39:00.000Z,ARS,141296
376091467806373,VISA 13 digit,purchase,2024-03-01T16:45:00.000Z,ARS,163348
4232997505083930,Maestro,purchase,2024-02-19T02:57:00.000Z,USD,194703
30526474511118,VISA 16 digit,purchase,2024-01-08T06:05:00.000Z,USD,175545
6527894257187101,Maestro,purchase,2024-01-19T03:18:00.000Z,COP,143236
4176527948604469,Maestro,purchase,2024-01-31T05:26:00.000Z,MEX,143855
344840695792378,VISA 16 digit,purchase,2024-02-29T07:58:00.000Z,USD,208777
180075420833281,JCB 15 digit,purchase,2024-01-24T04:48:00.000Z,USD,78018
4853240188709606,JCB 15 digit,purchase,2024-02-01T06:34:00.000Z,BRL,163857
4663099249488721578,Diners Club / Carte Blanche,purchase,2024-03-27T04:50:00.000Z,MEX,121569
2348632511046614,JCB 16 digit,purchase,2024-02-04T22:18:00.000Z,ARS,167098
675904827754,JCB 16 digit,purchase,2024-01-27T03:40:00.000Z,USD,141858
4495765841498050,American Express,cash_advance,2024-02-26T09:18:00.000Z,USD,150942
4396017570639888,VISA 19 digit,purchase,2024-01-03T13:18:00.000Z,COP,162467
6596560305564700,VISA 16 digit,purchase,2024-01-27T09:17:00.000Z,ARS,169349
4740879436749026,Mastercard,purchase,2024-02-28T14:38:00.000Z,USD,209838
180051752988183,American Express,purchase,2024-03-26T12:29:00.000Z,USD,167691
38107316007060,JCB 16 digit,purchase,2024-03-22T20:45:00.000Z,USD,114350
4641653564167313,Diners Club / Carte Blanche,purchase,2024-02-24T22:21:00.000Z,COP,161541
4433433514667,VISA 16 digit,purchase,2024-01-30T14:23:00.000Z,MEX,171311
3531379477201248,Maestro,cash_advance,2024-01-01T14:39:00.000Z,COP,168628
3535484173400254,Mastercard,purchase,2024-03-17T05:09:00.000Z,ARS,145702
30049940101174,VISA 16 digit,purchase,2024-03-26T13:57:00.000Z,USD,153580
3550298467468060,Diners Club / Carte Blanche,purchase,2024-02-25T04:04:00.000Z,COP,156776
6592194614376814,JCB 16 digit,purchase,2024-01-11T20:03:00.000Z,COP,156647
3505502968688993,VISA 13 digit,purchase,2024-03-29T21:11:00.000Z,COP,150939
4909194173344296727,VISA 13 digit,purchase,2024-01-28T04:16:00.000Z,COP,134815
4731881667265840880,VISA 13 digit,purchase,2024-02-08T14:34:00.000Z,BRL,191562
4053885966089875550,American Express,cash_advance,2024-02-08T03:43:00.000Z,COP,161747
2717267865661404,VISA 16 digit,purchase,2024-03-08T10:09:00.000Z,ARS,115327
4887154419863167,VISA 13 digit,purchase,2024-01-23T16:57:00.000Z,COP,118861
30370488780454,Discover,purchase,2024-01-11T10:28:00.000Z,USD,145311
4744824653963799,VISA 16 digit,purchase,2024-02-27T22:46:00.000Z,COP,152270
3532970775391043,Diners Club / Carte Blanche,purchase,2024-01-21T11:15:00.000Z,COP,150642
4586078669949397593,JCB 15 digit,purchase,2024-02-23T15:14:00.000Z,ARS,99111
6561817045704322,American Express,purchase,2024-01-03T21:48:00.000Z,COP,101136
2719462337745913,VISA 16 digit,purchase,2024-02-26T15:20:00.000Z,USD,223268
30007743853912,JCB 16 digit,purchase,2024-02-06T12:53:00.000Z,BRL,178770
4165041117267598,American Express,purchase,2024-02-18T06:01:00.000Z,USD,197945
3513068480993188,VISA 19 digit,purchase,2024-01-05T06:17:00.000Z,USD,134195
4668497272874933687,VISA 16 digit,purchase,2024-01-27T10:43:00.000Z,USD,181177
30478122371406,Diners Club / Carte Blanche,purchase,2024-01-19T00:38:00.000Z,USD,157734
30521180701566,VISA 16 digit,purchase,2024-02-08T15:59:00.000Z,ARS,223641
2226309440389251,Maestro,purchase,2024-03-06T13:33:00.000Z,USD,143928
4567003119395482,American Express,purchase,2024-02-26T08:37:00.000Z,COP,168945
373346773276700,VISA 13 digit,purchase,2024-01-30T03:33:00.000Z,COP,204309
502055033620,JCB 15 digit,purchase,2024-02-13T04:29:00.000Z,COP,124115
3538387654747951,American Express,purchase,2024-02-21T18:44:00.000Z,USD,203641
3515921373456275,American Express,purchase,2024-01-24T21:50:00.000Z,COP,140809
4074774567388536,JCB 16 digit,purchase,2024-01-10T22:30:00.000Z,ARS,151253
3511034829865679,JCB 15 digit,purchase,2024-02-03T04:53:00.000Z,COP,171376
561864784104,JCB 16 digit,purchase,2024-02-25T19:02:00.000Z,MEX,147784
345993391829389,Mastercard,purchase,2024-03-04T17:22:00.000Z,COP,139094
349420551901135,JCB 15 digit,purchase,2024-02-29T22:22:00.000Z,COP,121468
3562389104361648,American Express,purchase,2024-03-04T15:46:00.000Z,COP,87133
180006219978508,Maestro,purchase,2024-03-21T18:41:00.000Z,BRL,196663
630442996496,VISA 13 digit,purchase,2024-01-21T07:41:00.000Z,COP,122422
3502939553515038,Maestro,purchase,2024-03-12T08:54:00.000Z,ARS,137857
180047238011871,Discover,cash_advance,2024-01-27T05:15:00.000Z,USD,94362
4553759397017330,Maestro,purchase,2024-03-27T19:11:00.000Z,COP,131457
6011858769405973,JCB 16 digit,purchase,2024-02-26T06:51:00.000Z,COP,121062
4211494805369790229,Maestro,cash_advance,2024-01-05T16:20:00.000Z,ARS,162661
342590700378539,Diners Club / Carte Blanche,purchase,2024-03-22T15:57:00.000Z,MEX,124662
6011684024603925,JCB 15 digit,purchase,2024-02-18T17:06:00.000Z,COP,164903
4712328616426,American Express,purchase,2024-01-21T23:57:00.000Z,COP,112345
6011157701947238,VISA 16 digit,purchase,2024-02-11T22:38:00.000Z,USD,125193
341120842353082,JCB 16 digit,cash_advance,2024-01-28T04:37:00.000Z,BRL,177662
6011430251555994,Mastercard,cash_advance,2024-01-09T16:44:00.000Z,COP,80822
4426855480405625,American Express,purchase,2024-01-27T12:48:00.000Z,BRL,168176
4290838285817445,Maestro,purchase,2024-02-15T16:47:00.000Z,COP,89988
4781238992717341,VISA 16 digit,purchase,2024-02-11T20:55:00.000Z,USD,131378
3583174051206060,VISA 16 digit,purchase,2024-02-15T21:03:00.000Z,COP,146102
3588849155016433,JCB 15 digit,purchase,2024-01-06T02:53:00.000Z,USD,235845
6011663146461669,JCB 16 digit,purchase,2024-01-07T08:50:00.000Z,ARS,168881
502031939916,VISA 13 digit,purchase,2024-03-01T16:48:00.000Z,BRL,204842
4812990881248027,Discover,purchase,2024-01-07T00:27:00.000Z,COP,127608
213193638715488,JCB 15 digit,cash_advance,2024-01-10T03:01:00.000Z,USD,172847
4970169214852098,VISA 16 digit,purchase,2024-01-01T12:10:00.000Z,USD,191526
4838697352248135,Mastercard,purchase,2024-01-24T06:22:00.000Z,COP,140585
4607969627858,VISA 13 digit,purchase,2024-02-28T02:10:00.000Z,MEX,133704
3549372393181115,VISA 16 digit,purchase,2024-01-16T01:09:00.000Z,COP,152115
4739905027594,Mastercard,purchase,2024-03-28T11:52:00.000Z,USD,125726
4340095090557,JCB 16 digit,cash_advance,2024-01-08T18:17:00.000Z,ARS,145372
3586625679131060,Diners Club / Carte Blanche,cash_advance,2024-01-25T10:46:00.000Z,USD,117247
5423154480402331,VISA 19 digit,purchase,2024-02-11T05:41:00.000Z,COP,155643
180030862367736,Maestro,purchase,2024-03-21T11:51:00.000Z,ARS,115005
213189746924087,VISA 16 digit,purchase,2024-03-08T20:19:00.000Z,USD,202496
4821919708381496,VISA 16 digit,purchase,2024-01-29T11:16:00.000Z,COP,129074
3506407054173851,American Express,purchase,2024-01-04T15:28:00.000Z,USD,208865
2222275654773593,JCB 15 digit,purchase,2024-02-15T05:14:00.000Z,COP,139403
213168257151629,VISA 16 digit,purchase,2024-03-27T18:40:00.000Z,BRL,128003
6011761759585566,JCB 16 digit,purchase,2024-03-19T06:03:00.000Z,COP,141284
180074063632209,VISA 16 digit,purchase,2024-03-22T05:27:00.000Z,BRL,174619
6011041035944188,JCB 16 digit,purchase,2024-03-31T21:34:00.000Z,BRL,92534
30336537005920,JCB 16 digit,cash_advance,2024-01-18T01:49:00.000Z,COP,114189
2268905882083598,American Express,purchase,2024-02-05T16:35:00.000Z,ARS,59905
2250875673612295,Diners Club / Carte Blanche,purchase,2024-03-25T10:41:00.000Z,USD,171631
570907330577,Discover,purchase,2024-02-18T08:23:00.000Z,MEX,119605
373806899997935,Discover,purchase,2024-01-16T13:42:00.000Z,USD,146805
3543522917373780,Maestro,purchase,2024-01-30T08:07:00.000Z,USD,102211
4632629604493220640,Diners Club / Carte Blanche,cash_advance,2024-01-09T04:56:00.000Z,COP,142999
6011253064527954,VISA 16 digit,purchase,2024-02-24T15:41:00.000Z,USD,191801
2222361677138632,Discover,cash_advance,2024-02-27T14:49:00.000Z,USD,97410
3568662660768586,JCB 16 digit,purchase,2024-01-26T12:37:00.000Z,MEX,105618
3543986528927203,Maestro,purchase,2024-03-04T03:35:00.000Z,COP,167170
3574032518965960,Discover,purchase,2024-03-11T16:26:00.000Z,USD,129801
180085814332261,Mastercard,purchase,2024-01-18T16:19:00.000Z,COP,153611
2620139532293455,JCB 16 digit,purchase,2024-02-16T15:37:00.000Z,BRL,123732
6538917826659289,Diners Club / Carte Blanche,purchase,2024-01-11T08:46:00.000Z,COP,108678
3573705441265225,VISA 13 digit,cash_advance,2024-03-24T05:01:00.000Z,COP,106873
3557867631722108,VISA 16 digit,cash_advance,2024-01-13T13:44:00.000Z,BRL,191058
4501997726076923,VISA 19 digit,purchase,2024-02-03T09:20:00.000Z,USD,157362
4648394782702,JCB 16 digit,purchase,2024-03-13T04:51:00.000Z,USD,79555
4534770501272,VISA 16 digit,purchase,2024-03-26T05:07:00.000Z,COP,111306
4725224642806956,JCB 16 digit,purchase,2024-02-02T22:46:00.000Z,COP,180031
4059137158752214,Discover,cash_advance,2024-01-30T15:06:00.000Z,USD,135294
4226614947296,VISA 16 digit,purchase,2024-03-30T17:41:00.000Z,USD,136666
180053776852957,JCB 16 digit,purchase,2024-02-26T09:41:00.000Z,COP,171011
4181594836497482,VISA 16 digit,purchase,2024-01-29T10:35:00.000Z,USD,97888
2720710274746444,Maestro,purchase,2024-02-23T03:03:00.000Z,COP,134282
6011256725448452,VISA 19 digit,cash_advance,2024-01-05T05:20:00.000Z,MEX,146634
343491127587977,JCB 16 digit,cash_advance,2024-02-11T02:55:00.000Z,USD,113307
676195107153,VISA 16 digit,purchase,2024-02-23T21:39:00.000Z,ARS,167354
4916886290157,JCB 16 digit,purchase,2024-01-27T06:57:00.000Z,USD,162099
370216778780688,Maestro,purchase,2024-02-06T01:56:00.000Z,MEX,178755
4314909125401047,JCB 15 digit,purchase,2024-02-14T19:12:00.000Z,BRL,162401
4627127157627163,VISA 19 digit,purchase,2024-03-14T01:30:00.000Z,COP,65720
2716677666474602,VISA 13 digit,purchase,2024-01-18T16:25:00.000Z,USD,190080
4998031245823894,JCB 15 digit,purchase,2024-01-08T00:54:00.000Z,COP,186608
3538807925607205,VISA 19 digit,purchase,2024-01-27T07:06:00.000Z,MEX,146533
6537450823343898,Diners Club / Carte Blanche,purchase,2024-03-13T05:02:00.000Z,BRL,67384
30529103321859,VISA 19 digit,purchase,2024-02-21T23:09:00.000Z,COP,101253
2278208652546961,JCB 16 digit,purchase,2024-03-31T15:22:00.000Z,MEX,152463
4203889212656,JCB 16 digit,purchase,2024-02-25T06:03:00.000Z,USD,146332
36947206444366,VISA 16 digit,purchase,2024-01-25T01:28:00.000Z,USD,111066
4094538232280,VISA 16 digit,purchase,2024-01-08T21:35:00.000Z,COP,43711
4322207428804428033,JCB 16 digit,purchase,2024-03-31T11:16:00.000Z,BRL,156738
676284565964,American Express,purchase,2024-01-13T14:00:00.000Z,COP,192010
6011995249560884,JCB 15 digit,cash_advance,2024-01-19T07:03:00.000Z,COP,136627
630486401650,JCB 16 digit,purchase,2024-03-14T07:16:00.000Z,BRL,97194
3508744476068634,VISA 16 digit,purchase,2024-03-29T06:49:00.000Z,USD,162812
6011921244638079,Mastercard,purchase,2024-03-31T14:06:00.000Z,COP,214408
374533064266719,VISA 16 digit,cash_advance,2024-02-08T17:38:00.000Z,COP,94613
4004687637929821,Diners Club / Carte Blanche,purchase,2024-02-19T01:08:00.000Z,ARS,161534
676242531819,VISA 19 digit,cash_advance,2024-03-29T17:36:00.000Z,MEX,191969
30196737610840,JCB 15 digit,purchase,2024-03-06T02:40:00.000Z,COP,86904
4392067846771,JCB 16 digit,purchase,2024-02-27T01:26:00.000Z,USD,171703
343581172010584,Diners Club / Carte Blanche,purchase,2024-01-17T06:56:00.000Z,COP,93830
3596821268996686,VISA 19 digit,purchase,2024-01-13T11:41:00.000Z,COP,154314
4386120205793,American Express,purchase,2024-02-02T02:11:00.000Z,USD,194077
4494942914507759,Diners Club / Carte Blanche,purchase,2024-01-28T10:26:00.000Z,COP,144754
4850784565565940952,Maestro,purchase,2024-02-28T13:43:00.000Z,COP,124441
3598777467309303,Discover,purchase,2024-02-22T00:42:00.000Z,MEX,167087
2447187770722694,JCB 16 digit,purchase,2024-01-24T14:15:00.000Z,USD,138133
4603147855199350677,VISA 16 digit,purchase,2024-02-12T04:46:00.000Z,COP,145492
4007271055623625,Mastercard,purchase,2024-03-23T07:37:00.000Z,USD,141541
630461009163,JCB 16 digit,purchase,2024-02-16T15:08:00.000Z,ARS,139547
3580238789870308,JCB 16 digit,purchase,2024-03-03T23:23:00.000Z,USD,138825
6011933406947909,VISA 13 digit,purchase,2024-01-17T03:08:00.000Z,COP,164635
180031663266952,Maestro,purchase,2024-02-24T11:21:00.000Z,USD,125599
3543365172320579,JCB 16 digit,purchase,2024-02-28T08:36:00.000Z,COP,128152
30001798861094,VISA 13 digit,purchase,2024-01-16T23:57:00.000Z,USD,120803
4471681772452586,VISA 16 digit,cash_advance,2024-02-28T19:13:00.000Z,USD,196859
4633861483266435,Discover,purchase,2024-02-24T21:31:00.000Z,USD,163077
4684956757096043,VISA 13 digit,cash_advance,2024-02-02T16:54:00.000Z,USD,186494
2720082537301254,JCB 16 digit,purchase,2024-02-12T13:20:00.000Z,USD,154060
30505968258840,JCB 16 digit,purchase,2024-03-23T00:10:00.000Z,BRL,154832
5544601671961313,Discover,cash_advance,2024-03-24T19:06:00.000Z,MEX,163927
347381910368543,Discover,purchase,2024-03-31T04:52:00.000Z,COP,128928
4775646501318534,Diners Club / Carte Blanche,purchase,2024-02-03T05:47:00.000Z,ARS,121350
5428279375585422,VISA 16 digit,purchase,2024-02-16T19:54:00.000Z,COP,170789
370984208107687,Maestro,purchase,2024-03-16T07:28:00.000Z,COP,122076
349998755665762,Discover,purchase,2024-01-26T06:49:00.000Z,USD,116442
4345024720346160609,JCB 16 digit,purchase,2024-02-18T13:46:00.000Z,COP,147082
3565783211906898,Diners Club / Carte Blanche,purchase,2024-02-19T08:16:00.000Z,MEX,150549
6011026236587092,VISA 19 digit,cash_advance,2024-02-12T03:05:00.000Z,BRL,223178
6552051927532863,VISA 13 digit,purchase,2024-01-15T20:05:00.000Z,COP,185132
346898679005868,VISA 16 digit,purchase,2024-03-26T23:22:00.000Z,USD,110463
3526974705808223,Mastercard,purchase,2024-01-03T20:29:00.000Z,COP,189936
30217384012146,JCB 15 digit,cash_advance,2024-01-29T07:42:00.000Z,COP,165053
6011928961981517,JCB 16 digit,purchase,2024-01-11T09:11:00.000Z,COP,169513
4967820144195447,JCB 16 digit,purchase,2024-01-16T22:02:00.000Z,MEX,89178
30117458971518,VISA 13 digit,purchase,2024-01-11T03:22:00.000Z,COP,189357
180045758584319,VISA 19 digit,purchase,2024-03-12T11:47:00.000Z,COP,107426
2263879679203583,VISA 16 digit,purchase,2024-02-05T16:48:00.000Z,COP,149128
4742402434746247,VISA 16 digit,purchase,2024-01-01T22:38:00.000Z,MEX,105854
30000941615662,VISA 19 digit,purchase,2024-03-17T18:00:00.000Z,COP,219655
676357895710,Mastercard,purchase,2024-03-23T10:35:00.000Z,COP,172901
4711889533463079,JCB 16 digit,purchase,2024-03-04T08:16:00.000Z,USD,107232
2233227703525349,JCB 16 digit,purchase,2024-01-27T00:21:00.000Z,USD,144533
6011477445326592,American Express,purchase,2024-02-25T13:11:00.000Z,ARS,166554
346638434133237,JCB 16 digit,purchase,2024-01-08T00:46:00.000Z,COP,195963
4082167829816545,VISA 16 digit,purchase,2024-02-02T03:46:00.000Z,COP,73220
341295809854221,Discover,purchase,2024-01-15T11:43:00.000Z,COP,97359
30437897493746,American Express,purchase,2024-01-08T20:31:00.000Z,USD,173089
2717709880959511,VISA 16 digit,purchase,2024-01-16T01:55:00.000Z,MEX,140539
3541362342122649,VISA 19 digit,purchase,2024-01-25T21:12:00.000Z,MEX,91659
180022045422652,American Express,purchase,2024-02-04T22:38:00.000Z,USD,101022
6532623107246756,Discover,purchase,2024-02-02T12:58:00.000Z,BRL,154186
30228107486202,JCB 16 digit,purchase,2024-02-07T01:19:00.000Z,COP,210177
503801439343,Mastercard,purchase,2024-01-26T09:49:00.000Z,COP,94258
4921196402591352,JCB 16 digit,purchase,2024-03-04T00:12:00.000Z,USD,132368
4945259747129197,Maestro,purchase,2024-03-15T03:45:00.000Z,USD,180894
344137126804595,JCB 16 digit,purchase,2024-02-15T08:13:00.000Z,USD,85088
2711358376171763,Mastercard,purchase,2024-03-08T16:46:00.000Z,COP,135710
6011500079694090,VISA 16 digit,purchase,2024-02-26T15:48:00.000Z,USD,120245
4453052164637069772,Diners Club / Carte Blanche,purchase,2024-02-06T18:16:00.000Z,COP,139283
4323037867140633760,Maestro,purchase,2024-03-23T19:14:00.000Z,ARS,169810
4638946204915256,VISA 19 digit,purchase,2024-03-21T04:42:00.000Z,ARS,129759
4744882038815428877,Diners Club / Carte Blanche,purchase,2024-03-30T23:29:00.000Z,COP,170138
4427081948426017,Maestro,purchase,2024-01-09T04:35:00.000Z,COP,199116
5225671861238364,JCB 16 digit,purchase,2024-01-22T01:43:00.000Z,USD,137592
4845422418206,JCB 15 digit,purchase,2024-03-14T12:23:00.000Z,USD,156509
6518369890733828,JCB 16 digit,purchase,2024-03-14T03:20:00.000Z,BRL,113665
3592092571699078,JCB 16 digit,purchase,2024-01-26T20:03:00.000Z,COP,94292
630441405101,Maestro,purchase,2024-01-10T06:17:00.000Z,MEX,128666
4974423736952597,Mastercard,purchase,2024-01-15T00:57:00.000Z,USD,146376
38627135939458,VISA 16 digit,purchase,2024-03-03T10:14:00.000Z,COP,155151
30277946724414,Discover,purchase,2024-03-15T12:12:00.000Z,COP,140342
3513538814302447,Mastercard,purchase,2024-01-03T19:25:00.000Z,BRL,166619
2378536198993647,JCB 16 digit,purchase,2024-01-30T05:22:00.000Z,COP,89453
6597797054818577,JCB 16 digit,cash_advance,2024-03-19T16:53:00.000Z,USD,172792
4329966252276827,VISA 19 digit,purchase,2024-01-22T12:54:00.000Z,ARS,185206
4816120962860,VISA 16 digit,purchase,2024-01-03T04:19:00.000Z,MEX,163267
374369855242167,Discover,purchase,2024-01-03T23:05:00.000Z,USD,88755
4450703426297947,JCB 16 digit,purchase,2024-02-07T05:40:00.000Z,USD,167105
180050979046908,Discover,cash_advance,2024-03-15T06:00:00.000Z,USD,51835
180075762405656,JCB 15 digit,purchase,2024-01-09T23:46:00.000Z,COP,127193
4407350033255332,Mastercard,purchase,2024-01-07T10:11:00.000Z,ARS,183021
2715868981745427,JCB 16 digit,purchase,2024-03-19T07:25:00.000Z,COP,185270
4626070196545109117,Discover,purchase,2024-03-08T19:18:00.000Z,MEX,73857
4747853168462762,Diners Club / Carte Blanche,purchase,2024-02-17T17:21:00.000Z,COP,115823
3572845030958797,Discover,purchase,2024-03-16T10:12:00.000Z,COP,142228
213137665966951,JCB 15 digit,cash_advance,2024-02-05T18:04:00.000Z,USD,146699
4950060460853639,Maestro,purchase,2024-01-23T10:44:00.000Z,COP,81764
4145505075476248,American Express,purchase,2024-01-15T02:52:00.000Z,USD,178545
6011391041652683,JCB 16 digit,purchase,2024-01-23T07:53:00.000Z,USD,107019
30419526902628,Mastercard,purchase,2024-02-25T21:43:00.000Z,BRL,156740
213102432745310,VISA 16 digit,purchase,2024-01-27T13:50:00.000Z,BRL,85351
3562439670723943,VISA 19 digit,purchase,2024-03-12T20:56:00.000Z,MEX,165544
343106315133521,American Express,purchase,2024-01-21T19:56:00.000Z,COP,188785
30429412874401,VISA 16 digit,purchase,2024-02-28T19:12:00.000Z,COP,166072
4293167412264371,JCB 16 digit,purchase,2024-01-15T15:20:00.000Z,BRL,141977
4244052994387529,Diners Club / Carte Blanche,purchase,2024-01-29T09:12:00.000Z,COP,101470
503851304124,Maestro,purchase,2024-02-17T00:48:00.000Z,COP,122145
36395723471654,VISA 16 digit,purchase,2024-02-12T06:08:00.000Z,COP,133350
340977626413833,American Express,purchase,2024-02-09T15:19:00.000Z,ARS,169510
341698394257132,VISA 16 digit,purchase,2024-03-17T00:31:00.000Z,COP,160098
676316508032,American Express,purchase,2024-01-08T05:33:00.000Z,COP,115926
213183187304727,JCB 16 digit,purchase,2024-01-29T00:33:00.000Z,ARS,159204
378618691461092,American Express,purchase,2024-02-02T17:17:00.000Z,COP,178008
577028488119,VISA 16 digit,purchase,2024-02-19T08:24:00.000Z,BRL,172694
343594422785749,VISA 16 digit,cash_advance,2024-01-20T08:12:00.000Z,COP,161523
6576251706334067,JCB 15 digit,purchase,2024-03-11T20:13:00.000Z,USD,151044
3515600456468023,JCB 15 digit,purchase,2024-03-18T09:18:00.000Z,BRL,120692
4858559295552,JCB 15 digit,purchase,2024-01-30T21:43:00.000Z,COP,136902
347505453439838,JCB 16 digit,purchase,2024-03-05T20:05:00.000Z,USD,88077
376174938598975,Mastercard,purchase,2024-02-15T20:15:00.000Z,ARS,131524
676141066222,VISA 19 digit,purchase,2024-01-26T08:17:00.000Z,COP,153553
3551031654432980,Diners Club / Carte Blanche,purchase,2024-03-07T17:02:00.000Z,BRL,63236
180092678931626,Discover,purchase,2024-03-09T22:11:00.000Z,COP,147901
4096376306191,Discover,purchase,2024-01-21T09:33:00.000Z,USD,168174
4021199609672693,Discover,purchase,2024-03-31T18:35:00.000Z,COP,165633
3592792174473439,American Express,purchase,2024-01-24T22:25:00.000Z,COP,147763
2266679083998514,JCB 16 digit,purchase,2024-03-29T18:36:00.000Z,USD,124867
4222601347624,Mastercard,purchase,2024-01-23T11:57:00.000Z,BRL,176732
213190656250190,VISA 13 digit,purchase,2024-03-01T15:38:00.000Z,USD,177195
4419124775255917,Mastercard,purchase,2024-02-25T01:01:00.000Z,ARS,203972
2298732120538405,JCB 15 digit,purchase,2024-01-12T12:09:00.000Z,COP,116033
3525503411095162,Diners Club / Carte Blanche,purchase,2024-02-15T16:36:00.000Z,USD,154337
180048438602550,VISA 19 digit,purchase,2024-01-21T10:50:00.000Z,BRL,163623
374058016234276,Mastercard,purchase,2024-03-11T05:20:00.000Z,USD,129235
30374543308087,JCB 16 digit,purchase,2024-02-01T19:59:00.000Z,USD,126769
6011725216376620,VISA 19 digit,purchase,2024-02-17T21:15:00.000Z,USD,110740
4315622756234590,Mastercard,purchase,2024-03-09T18:04:00.000Z,COP,99371
4761159695560198,VISA 16 digit,purchase,2024-01-20T11:57:00.000Z,BRL,97601
2623319189334490,JCB 15 digit,purchase,2024-03-10T06:19:00.000Z,USD,98263
342083398582398,VISA 16 digit,purchase,2024-01-26T09:28:00.000Z,COP,86865
4332826902004174,JCB 16 digit,purchase,2024-01-03T06:43:00.000Z,COP,170760
3568056466299005,VISA 13 digit,purchase,2024-01-24T23:03:00.000Z,USD,105829
4550334696229953,VISA 19 digit,purchase,2024-03-08T17:23:00.000Z,COP,171831
6504859968508132,Diners Club / Carte Blanche,purchase,2024-01-13T05:28:00.000Z,MEX,152295
3526949148542951,VISA 16 digit,purchase,2024-01-05T12:55:00.000Z,USD,87853
2294310051962516,VISA 16 digit,purchase,2024-01-13T07:03:00.000Z,COP,159767
4026276235472501,VISA 19 digit,purchase,2024-01-07T05:54:00.000Z,USD,169747
